id_cliente,nome,tipo,segmento,qtd_campanhas,ano_ultima_interacao,valor_ultima_campanha,status
401.314.393-32,Bernardo Machado,PF,Turismo,2,2022,15810.12,Inativo
922.458.108-05,Camila Pereira,PF,Educação,11,2020,9095.51,Inativo
255.131.478-07,Daniel Oliveira,PF,Moda,2,2024,19319.84,Ativo
371.079.541-99,Elisa Martins,PF,Varejo,5,2018,56199.84,Inativo
114.433.305-90,Ana Lima,PF,Tecnologia,4,2024,35963.07,Ativo
680.966.266-98,Bruno Souza,PF,Beleza,4,2019,43010.16,Ativo
498.954.683-00,Carlos Mendes,PF,Automotivo,5,2021,56284.31,Ativo
519.989.692-07,Diana Rocha,PF,Financeiro,9,2024,21187.49,Ativo
360.912.628-07,Eduardo Farias,PF,Saúde,3,2019,23879.04,Ativo
108.751.157-72,Fernanda Gomes,PF,Construção,3,2019,58035.71,Ativo
